date,Demand,tipo,conf_lower,conf_upper
1945-01-01,40310.0,real,,
1945-03-01,42511.0,real,,
1945-06-01,47091.0,real,,
1945-07-01,51409.0,real,,
1945-11-01,52352.0,real,,
1946-01-01,50317.0,real,,
1946-03-01,55802.0,real,,
1946-06-01,62277.0,real,,
1946-07-01,67784.0,real,,
1946-11-01,60381.0,real,,
1947-01-01,56053.0,real,,
1947-03-01,58897.0,real,,
1947-06-01,69498.0,real,,
1947-07-01,71315.0,real,,
1947-11-01,61826.0,real,,
1948-01-01,59018.0,real,,
1948-03-01,65395.0,real,,
1948-06-01,74635.0,real,,
1948-07-01,78526.0,real,,
1948-11-01,69342.0,real,,
1949-01-01,60916.0,real,,
1949-03-01,70176.0,real,,
1949-06-01,80395.0,real,,
1949-07-01,79202.0,real,,
1949-11-01,73705.0,real,,
1950-01-01,65155.0,real,,
1950-03-01,75931.0,real,,
1950-06-01,86675.0,real,,
1950-07-01,88509.0,real,,
1950-11-01,79143.0,real,,
1951-01-01,80494.0,real,,
1951-03-01,86772.0,real,,
1951-06-01,96154.0,real,,
1951-07-01,100347.0,real,,
1951-11-01,88388.0,real,,
1952-01-01,81781.0,real,,
1952-03-01,80602.0,real,,
1952-06-01,93038.0,real,,
1952-07-01,99547.0,real,,
1952-11-01,84045.0,real,,
1953-01-01,82866.0,real,,
1953-03-01,91431.0,real,,
1953-06-01,105699.0,real,,
1953-07-01,104932.0,real,,
1953-11-01,91241.0,real,,
1954-01-01,84697.0,real,,
1954-03-01,95229.0,real,,
1954-06-01,106226.0,real,,
1954-07-01,106171.0,real,,
1954-11-01,95984.0,real,,
1955-01-01,92460.0,real,,
1955-03-01,100948.0,real,,
1955-06-01,114029.0,real,,
1955-07-01,111816.0,real,,
1955-11-01,104433.0,real,,
1956-01-01,95334.0,real,,
1956-03-01,106167.0,real,,
1956-06-01,120116.0,real,,
1956-07-01,114561.0,real,,
1956-11-01,106258.0,real,,
1957-01-01,102041.0,real,,
1957-03-01,106144.0,real,,
1957-06-01,115585.0,real,,
1957-07-01,123255.0,real,,
1957-11-01,102858.0,real,,
1958-01-01,102759.0,real,,
1958-03-01,104129.0,real,,
1958-06-01,120305.0,real,,
1958-07-01,124763.0,real,,
1958-11-01,105413.0,real,,
1959-01-01,108629.0,real,,
1959-03-01,113097.0,real,,
1959-06-01,128223.0,real,,
1959-07-01,130025.0,real,,
1959-11-01,110823.0,real,,
1960-01-01,105775.0,real,,
1960-03-01,114526.0,real,,
1960-06-01,133581.0,real,,
1960-07-01,129525.0,real,,
1960-11-01,120453.0,real,,
1961-01-01,109650.0,real,,
1961-03-01,122082.0,real,,
1961-06-01,134004.0,real,,
1961-07-01,132316.0,real,,
1961-11-01,123527.0,real,,
1962-01-01,116837.0,real,,
1962-03-01,125699.0,real,,
1962-06-01,136392.0,real,,
1962-07-01,137932.0,real,,
1962-11-01,128889.0,real,,
1963-01-01,121245.0,real,,
1963-03-01,124411.0,real,,
1963-06-01,136394.0,real,,
1963-07-01,145092.0,real,,
1963-11-01,127782.0,real,,
1964-01-01,122966.0,real,,
1964-03-01,128235.0,real,,
1964-06-01,145477.0,real,,
1964-07-01,147851.0,real,,
1964-11-01,124083.0,real,,
1965-01-01,121388.0,real,,
