date,Demand,tipo,conf_lower,conf_upper
1945-01-01,25063.0,real,,
1945-03-01,19781.0,real,,
1945-06-01,14723.0,real,,
1945-07-01,15370.0,real,,
1945-11-01,19078.0,real,,
1946-01-01,29473.0,real,,
1946-03-01,19804.0,real,,
1946-06-01,14850.0,real,,
1946-07-01,15098.0,real,,
1946-11-01,23110.0,real,,
1947-01-01,35298.0,real,,
1947-03-01,29279.0,real,,
1947-06-01,16977.0,real,,
1947-07-01,16355.0,real,,
1947-11-01,28997.0,real,,
1948-01-01,42056.0,real,,
1948-03-01,33779.0,real,,
1948-06-01,20896.0,real,,
1948-07-01,18305.0,real,,
1948-11-01,30645.0,real,,
1949-01-01,41661.0,real,,
1949-03-01,32589.0,real,,
1949-06-01,16664.0,real,,
1949-07-01,19061.0,real,,
1949-11-01,30772.0,real,,
1950-01-01,43406.0,real,,
1950-03-01,42604.0,real,,
1950-06-01,19705.0,real,,
1950-07-01,23864.0,real,,
1950-11-01,35411.0,real,,
1951-01-01,57331.0,real,,
1951-03-01,45046.0,real,,
1951-06-01,24134.0,real,,
1951-07-01,24280.0,real,,
1951-11-01,47157.0,real,,
1952-01-01,63185.0,real,,
1952-03-01,49081.0,real,,
1952-06-01,25815.0,real,,
1952-07-01,23291.0,real,,
1952-11-01,47176.0,real,,
1953-01-01,63541.0,real,,
1953-03-01,50328.0,real,,
1953-06-01,29866.0,real,,
1953-07-01,24550.0,real,,
1953-11-01,43762.0,real,,
1954-01-01,74697.0,real,,
1954-03-01,54051.0,real,,
1954-06-01,27217.0,real,,
1954-07-01,26864.0,real,,
1954-11-01,51279.0,real,,
1955-01-01,73778.0,real,,
1955-03-01,58259.0,real,,
1955-06-01,29939.0,real,,
1955-07-01,28378.0,real,,
1955-11-01,59766.0,real,,
1956-01-01,83728.0,real,,
1956-03-01,65609.0,real,,
1956-06-01,33448.0,real,,
1956-07-01,31490.0,real,,
1956-11-01,57754.0,real,,
1957-01-01,92508.0,real,,
1957-03-01,60553.0,real,,
1957-06-01,31926.0,real,,
1957-07-01,31064.0,real,,
1957-11-01,60037.0,real,,
1958-01-01,83746.0,real,,
1958-03-01,62570.0,real,,
1958-06-01,32184.0,real,,
1958-07-01,36922.0,real,,
1958-11-01,57115.0,real,,
1959-01-01,95307.0,real,,
1959-03-01,67246.0,real,,
1959-06-01,36322.0,real,,
1959-07-01,34133.0,real,,
1959-11-01,65822.0,real,,
1960-01-01,86178.0,real,,
1960-03-01,86810.0,real,,
1960-06-01,39747.0,real,,
1960-07-01,34852.0,real,,
1960-11-01,61477.0,real,,
1961-01-01,96454.0,real,,
1961-03-01,66467.0,real,,
1961-06-01,37132.0,real,,
1961-07-01,39270.0,real,,
1961-11-01,64202.0,real,,
1962-01-01,101234.0,real,,
1962-03-01,75564.0,real,,
1962-06-01,40031.0,real,,
1962-07-01,40763.0,real,,
1962-11-01,71962.0,real,,
1963-01-01,103285.0,real,,
1963-03-01,72018.0,real,,
1963-06-01,39680.0,real,,
1963-07-01,40269.0,real,,
1963-11-01,61317.0,real,,
1964-01-01,96077.0,real,,
1964-03-01,73409.0,real,,
1964-06-01,43864.0,real,,
1964-07-01,41138.0,real,,
1964-11-01,66084.0,real,,
1965-01-01,92814.0,real,,
1965-03-01,83865.0,real,,
1965-06-01,41853.0,real,,
1965-07-01,44310.0,real,,
1965-11-01,71679.0,real,,
1966-01-01,96112.0,real,,
1966-03-01,76486.0,real,,
1966-06-01,48503.0,real,,
1966-07-01,43434.0,real,,
1966-11-01,74664.0,real,,
1967-01-01,93222.0,real,,
1967-03-01,91250.0,real,,
1967-06-01,48831.0,real,,
1967-07-01,47814.0,real,,
1967-11-01,80803.0,real,,
1968-01-01,119413.0,real,,
1968-03-01,87104.0,real,,
1968-06-01,48492.0,real,,
1968-07-01,45988.0,real,,
1968-11-01,77902.0,real,,
1969-01-01,119246.0,real,,
1969-03-01,91077.0,real,,
1969-06-01,51676.0,real,,
1969-07-01,49948.0,real,,
1969-11-01,82912.0,real,,
1970-01-01,127190.0,real,,
1970-03-01,95817.0,real,,
1970-06-01,52572.0,real,,
1970-07-01,50267.0,real,,
1970-11-01,78559.0,real,,
1971-01-01,123725.0,real,,
1971-03-01,99135.0,real,,
1971-06-01,60093.0,real,,
1971-07-01,54376.0,real,,
1971-11-01,85436.0,real,,
1972-01-01,115413.0,real,,
1972-03-01,107941.0,real,,
1972-06-01,65817.0,real,,
1972-07-01,54726.0,real,,
1972-11-01,101500.0,real,,
1973-01-01,128286.0,real,,
1973-03-01,103451.0,real,,
1973-06-01,72560.0,real,,
1973-07-01,72175.0,real,,
1973-11-01,105230.0,real,,
1974-01-01,118898.0,real,,
1974-03-01,98088.0,real,,
1974-06-01,71311.0,real,,
1974-07-01,71566.0,real,,
1974-11-01,94699.0,real,,
1975-01-01,122848.0,real,,
1975-03-01,102043.0,real,,
1975-06-01,68023.0,real,,
1975-07-01,65390.0,real,,
1975-11-01,76309.0,real,,
1976-01-01,133220.0,real,,
1976-03-01,103515.0,real,,
1976-06-01,73088.0,real,,
1976-07-01,69909.0,real,,
1976-11-01,111415.0,real,,
1977-01-01,158199.0,real,,
1977-03-01,106716.0,real,,
1977-06-01,83097.0,real,,
1977-07-01,79054.0,real,,
1977-11-01,102619.0,real,,
1978-01-01,138203.0,real,,
1978-03-01,127345.0,real,,
1978-06-01,85100.0,real,,
1978-07-01,78190.0,real,,
1978-11-01,107483.0,real,,
1979-01-01,141996.0,real,,
1979-03-01,113598.0,real,,
1979-06-01,81236.0,real,,
1979-07-01,79447.0,real,,
1979-11-01,97417.0,real,,
1980-01-01,115121.0,real,,
1980-03-01,98544.0,real,,
1980-06-01,69516.0,real,,
1980-07-01,69714.0,real,,
1980-11-01,88471.0,real,,
1981-01-01,127383.0,real,,
1981-03-01,90027.0,real,,
1981-06-01,73930.0,real,,
1981-07-01,73708.0,real,,
1981-11-01,86413.0,real,,
1982-01-01,108012.0,real,,
1982-03-01,91289.0,real,,
1982-06-01,73547.0,real,,
1982-07-01,63786.0,real,,
1982-11-01,74245.0,real,,
1983-01-01,86692.0,real,,
1983-03-01,91369.0,real,,
1983-06-01,75715.0,real,,
1983-07-01,70362.0,real,,
1983-11-01,86209.0,real,,
1984-01-01,109271.0,real,,
1984-03-01,101043.0,real,,
1984-06-01,77803.0,real,,
1984-07-01,77622.0,real,,
1984-11-01,84799.0,real,,
1985-01-01,107419.0,real,,
1985-03-01,95890.0,real,,
1985-06-01,77816.0,real,,
1985-07-01,75518.0,real,,
1985-11-01,82413.0,real,,
1986-01-01,103223.0,real,,
1986-03-01,98216.0,real,,
1986-06-01,76313.0,real,,
1986-07-01,80364.0,real,,
1986-11-01,86309.0,real,,
1987-01-01,102618.0,real,,
1987-03-01,96590.0,real,,
1987-06-01,83690.0,real,,
1987-07-01,84113.0,real,,
1987-11-01,87966.0,real,,
1988-01-01,110302.0,real,,
1988-03-01,109695.0,real,,
1988-06-01,85628.0,real,,
1988-07-01,81841.0,real,,
1988-11-01,95488.0,real,,
1989-01-01,102405.0,real,,
1989-03-01,106268.0,real,,
1989-06-01,90068.0,real,,
1989-07-01,80484.0,real,,
1989-11-01,99338.0,real,,
1990-01-01,98734.0,real,,
1990-03-01,101576.0,real,,
1990-06-01,87688.0,real,,
1990-07-01,84518.0,real,,
1990-11-01,92806.0,real,,
1991-01-01,104371.0,real,,
1991-03-01,92517.0,real,,
1991-06-01,83244.0,real,,
1991-07-01,82087.0,real,,
1991-11-01,87641.0,real,,
1992-01-01,100166.0,real,,
1992-03-01,99405.0,real,,
1992-06-01,80368.0,real,,
1992-07-01,84006.0,real,,
1992-11-01,87876.0,real,,
1993-01-01,96981.0,real,,
1993-03-01,106021.0,real,,
1993-06-01,85883.0,real,,
1993-07-01,82901.0,real,,
1993-11-01,96540.0,real,,
1994-01-01,114634.0,real,,
1994-03-01,102505.0,real,,
1994-06-01,91863.0,real,,
1994-07-01,82540.0,real,,
1994-11-01,95407.0,real,,
1995-01-01,105073.0,real,,
1995-03-01,103663.0,real,,
1995-06-01,98014.0,real,,
1995-07-01,84690.0,real,,
1995-11-01,96981.0,real,,
1996-01-01,114215.0,real,,
1996-03-01,107597.0,real,,
1996-06-01,95681.0,real,,
1996-07-01,93657.0,real,,
1996-11-01,103257.0,real,,
1997-01-01,117366.0,real,,
1997-03-01,108663.0,real,,
1997-06-01,97287.0,real,,
1997-07-01,101533.0,real,,
1997-11-01,103063.0,real,,
1998-01-01,110551.0,real,,
1998-03-01,111771.0,real,,
1998-06-01,107226.0,real,,
1998-07-01,102123.0,real,,
1998-11-01,99615.0,real,,
1999-01-01,117434.0,real,,
1999-03-01,117349.0,real,,
1999-06-01,102224.0,real,,
1999-07-01,107838.0,real,,
1999-11-01,108243.0,real,,
2000-01-01,118350.0,real,,
2000-03-01,114495.0,real,,
2000-06-01,106481.0,real,,
2000-07-01,104430.0,real,,
2000-11-01,114858.0,real,,
2001-01-01,134088.0,real,,
2001-03-01,128438.0,real,,
2001-06-01,109764.0,real,,
2001-07-01,110645.0,real,,
2001-11-01,112376.0,real,,
2002-01-01,122155.0,real,,
2002-03-01,116236.0,real,,
2002-06-01,107607.0,real,,
2002-07-01,114178.0,real,,
2002-11-01,117870.0,real,,
2003-01-01,133342.0,real,,
2003-03-01,124044.0,real,,
2003-06-01,113431.0,real,,
2003-07-01,114093.0,real,,
2003-11-01,114712.0,real,,
2004-01-01,134342.0,real,,
2004-03-01,128722.0,real,,
2004-06-01,116644.0,real,,
2004-07-01,118635.0,real,,
2004-11-01,121749.0,real,,
2005-01-01,130904.0,real,,
2005-03-01,134824.0,real,,
2005-06-01,121148.0,real,,
2005-07-01,119477.0,real,,
2005-11-01,121824.0,real,,
2006-01-01,128937.0,real,,
2006-03-01,136232.0,real,,
2006-06-01,120578.0,real,,
2006-07-01,122435.0,real,,
2006-11-01,125396.0,real,,
2007-01-01,131943.0,real,,
2007-03-01,134346.0,real,,
2007-06-01,123429.0,real,,
2007-07-01,124811.0,real,,
2007-11-01,122230.0,real,,
2008-01-01,129958.0,real,,
2008-03-01,128987.0,real,,
2008-06-01,112881.0,real,,
2008-07-01,114332.0,real,,
2008-11-01,116147.0,real,,
2009-01-01,126436.0,real,,
2009-03-01,116051.0,real,,
2009-06-01,105391.0,real,,
2009-07-01,105234.0,real,,
2009-11-01,107875.0,real,,
2010-01-01,114716.0,real,,
2010-03-01,118871.0,real,,
2010-06-01,112280.0,real,,
2010-07-01,109865.0,real,,
2010-11-01,116200.0,real,,
2011-01-01,122699.0,real,,
2011-03-01,125398.0,real,,
2011-06-01,118423.0,real,,
2011-07-01,110474.0,real,,
2011-11-01,123283.0,real,,
2012-01-01,119689.0,real,,
2012-03-01,115160.0,real,,
2012-06-01,111974.0,real,,
2012-07-01,110254.0,real,,
2012-11-01,115427.0,real,,
2013-01-01,125916.0,real,,
2013-03-01,116843.0,real,,
2013-06-01,109886.0,real,,
2013-07-01,112251.0,real,,
2013-11-01,116797.0,real,,
2014-01-01,134540.0,real,,
2014-03-01,126051.0,real,,
2014-06-01,117047.0,real,,
2014-07-01,119860.0,real,,
2014-11-01,117516.0,real,,
2015-01-01,129758.0,real,,
2015-03-01,126423.0,real,,
2015-06-01,116905.0,real,,
2015-07-01,120937.0,real,,
2015-11-01,112207.0,real,,
2016-01-01,119358.0,real,,
2016-03-01,122357.0,real,,
2016-06-01,115582.0,real,,
2016-07-01,111519.0,real,,
2016-11-01,118152.0,real,,
2017-01-01,115803.0,real,,
2017-03-01,127926.0,real,,
2017-06-01,118907.0,real,,
2017-07-01,112896.0,real,,
2017-11-01,124723.0,real,,
2018-01-01,139222.0,real,,
2018-03-01,130091.0,real,,
2018-06-01,118781.0,real,,
2018-07-01,122841.0,real,,
2018-11-01,126115.0,real,,
2019-01-01,134151.0,real,,
2019-03-01,129708.0,real,,
2019-06-01,119796.0,real,,
2019-07-01,121247.0,real,,
2019-11-01,126044.0,real,,
2020-01-01,124756.0,real,,
2020-03-01,122789.0,real,,
2020-06-01,104838.0,real,,
2020-07-01,112054.0,real,,
2020-11-01,116384.0,real,,
2021-01-01,122030.0,real,,
2021-03-01,126392.0,real,,
2021-06-01,118372.0,real,,
2021-07-01,113912.0,real,,
2021-11-01,125711.0,real,,
2022-01-01,127991.0,real,,
2022-03-01,129680.0,real,,
2022-06-01,121477.0,real,,
2022-07-01,115367.0,real,,
2022-11-01,121785.0,real,,
2023-01-01,122971.0,real,,
2023-03-01,127518.0,real,,
2023-06-01,119326.0,real,,
2023-07-01,111082.0,real,,
2023-11-01,118508.0,real,,
2024-01-01,119521.0,real,,
2024-03-01,114472.0,real,,
2024-06-01,109878.0,real,,
2024-07-01,114673.0,real,,
2024-11-01,110397.0,real,,
2025-01-01,125996.0,real,,
2025-03-01,120714.0,real,,
2025-06-01,118938.0,real,,
2025-07-01,117913.0,real,,
2025-11-01,113867.0,real,,
2025-12-01,137182.90928981788,forecast,72179.21935912345,202186.59922051232
2026-01-01,137419.74619625072,forecast,72416.0562655563,202423.43612694513
2026-02-01,137656.58310268357,forecast,72652.89317198914,202660.273033378
2026-03-01,137893.4200091164,forecast,72889.73007842198,202897.10993981082
2026-04-01,138130.25691554925,forecast,73126.56698485483,203133.9468462437
2026-05-01,138367.0938219821,forecast,73363.40389128767,203370.7837526765
2026-06-01,138603.93072841494,forecast,73600.24079772051,203607.62065910938
2026-07-01,138840.76763484778,forecast,73837.07770415336,203844.4575655422
2026-08-01,139077.60454128063,forecast,74073.9146105862,204081.29447197507
2026-09-01,139314.44144771347,forecast,74310.75151701905,204318.13137840788
2026-10-01,139551.2783541463,forecast,74547.58842345189,204554.96828484075
2026-11-01,139788.11526057916,forecast,74784.42532988473,204791.80519127357
